text,category,category_1
buying top for my mom,buy_clothes,0
want to buy top for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a top,buy_clothes,0
in want to by a top,buy_clothes,0
can you help me purchase a top,buy_clothes,0
need help in purchasing a top,buy_clothes,0
purchase top,buy_clothes,0
here to purchase top,buy_clothes,0
purchaseing top for my mom,buy_clothes,0
want to purchase top for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a top,buy_clothes,0
in want to by a top,buy_clothes,0
can you help me select a top,buy_clothes,0
need help in selecting a top,buy_clothes,0
select top,buy_clothes,0
here to select top,buy_clothes,0
selecting top for my mom,buy_clothes,0
want to select top for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a top,buy_clothes,0
in want to by a formals,buy_clothes,0
can you help me buy a formals,buy_clothes,0
need help in buying a formals,buy_clothes,0
buy formals,buy_clothes,0
here to buy formals,buy_clothes,0
buying formals for my mom,buy_clothes,0
want to buy formals for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a formals,buy_clothes,0
in want to by a formals,buy_clothes,0
can you help me purchase a formals,buy_clothes,0
need help in purchasing a formals,buy_clothes,0
purchase formals,buy_clothes,0
here to purchase formals,buy_clothes,0
purchaseing formals for my mom,buy_clothes,0
want to purchase formals for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a formals,buy_clothes,0
in want to by a formals,buy_clothes,0
can you help me select a formals,buy_clothes,0
need help in selecting a formals,buy_clothes,0
select formals,buy_clothes,0
here to select formals,buy_clothes,0
selecting formals for my mom,buy_clothes,0
want to select formals for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a formals,buy_clothes,0
I want to get dry cleaning for my clothes,dry_cleaning,1
dry cleaning services,dry_cleaning,1
drycleaning,dry_cleaning,1
dry-cleaning,dry_cleaning,1
dry_clean,dry_cleaning,1
dry cleaning for my pant,dry_cleaning,1
suit dry cleaning,dry_cleaning,1
do you provide dry cleaning services,dry_cleaning,1
need help with dry cleaning for my pant,dry_cleaning,1
want to know the charges related to dry cleaning,dry_cleaning,1
need help with dry cleaning,dry_cleaning,1
information regarding dry cleaning,dry_cleaning,1
cost of dry cleaning,dry_cleaning,1
help with the dry cleaning cost,dry_cleaning,1
can I get some information regarding dry cleaning here,dry_cleaning,1
provide dry cleanining,dry_cleaning,1
dry cleaning for my shirt,dry_cleaning,1
tux dry cleaning,dry_cleaning,1
jeans dry cleaning,dry_cleaning,1
how many days does it take for dry cleaning activity,dry_cleaning,1
need help with dry cleaning my tank top,dry_cleaning,1
need some help and information related to dry cleaning,dry_cleaning,1
I want to get dry cleaning for my clothes,dry_cleaning,1
dry cleaning services,dry_cleaning,1
drycleaning,dry_cleaning,1
dry-cleaning,dry_cleaning,1
dry_clean,dry_cleaning,1
dry cleaning for my pant,dry_cleaning,1
suit dry cleaning,dry_cleaning,1
do you provide dry cleaning services,dry_cleaning,1
need help with dry cleaning for my pant,dry_cleaning,1
want to know the charges related to dry cleaning,dry_cleaning,1
need help with dry cleaning,dry_cleaning,1
information regarding dry cleaning,dry_cleaning,1
cost of dry cleaning,dry_cleaning,1
help with the dry cleaning cost,dry_cleaning,1
can I get some information regarding dry cleaning here,dry_cleaning,1
provide dry cleanining,dry_cleaning,1
dry cleaning for my shirt,dry_cleaning,1
tux dry cleaning,dry_cleaning,1
jeans dry cleaning,dry_cleaning,1
how many days does it take for dry cleaning activity,dry_cleaning,1
need help with dry cleaning my tank top,dry_cleaning,1
need some help and information related to dry cleaning,dry_cleaning,1
I want to get dry cleaning for my clothes,dry_cleaning,1
dry cleaning services,dry_cleaning,1
drycleaning,dry_cleaning,1
dry-cleaning,dry_cleaning,1
dry_clean,dry_cleaning,1
dry cleaning for my pant,dry_cleaning,1
suit dry cleaning,dry_cleaning,1
do you provide dry cleaning services,dry_cleaning,1
need help with dry cleaning for my pant,dry_cleaning,1
want to know the charges related to dry cleaning,dry_cleaning,1
need help with dry cleaning,dry_cleaning,1
information regarding dry cleaning,dry_cleaning,1
cost of dry cleaning,dry_cleaning,1
help with the dry cleaning cost,dry_cleaning,1
can I get some information regarding dry cleaning here,dry_cleaning,1
provide dry cleanining,dry_cleaning,1
dry cleaning for my shirt,dry_cleaning,1
tux dry cleaning,dry_cleaning,1
jeans dry cleaning,dry_cleaning,1
how many days does it take for dry cleaning activity,dry_cleaning,1
need help with dry cleaning my tank top,dry_cleaning,1
need some help and information related to dry cleaning,dry_cleaning,1
custom tailoring,custom_tailoring,2
do you provide tailoring services,custom_tailoring,2
stiching service,custom_tailoring,2
I want to get a custom suit made for me ,custom_tailoring,2
do you provide tailoring services,custom_tailoring,2
can you provide some information on tailoring,custom_tailoring,2
can you tailor a suit for me,custom_tailoring,2
can you stich a suit for me ,custom_tailoring,2
tailoring,custom_tailoring,2
tailoring services,custom_tailoring,2
help with tailoring,custom_tailoring,2
prices of tailoring,custom_tailoring,2
cost of tailoring services,custom_tailoring,2
neeed to get a jeans tailored,custom_tailoring,2
tailor and stich,custom_tailoring,2
stiching and tailoring,custom_tailoring,2
need some information regaring a tailor made shirt,custom_tailoring,2
tailor made clothing,custom_tailoring,2
do you provide tailor made clothes,custom_tailoring,2
can I customize my clothing ,custom_tailoring,2
do you provide tailoring  and what would be the cost of service,custom_tailoring,2
need help with some bespoke tailoring,custom_tailoring,2
tailor,custom_tailoring,2
tailoring,custom_tailoring,2
custom tailoring,custom_tailoring,2
do you provide tailoring services,custom_tailoring,2
stiching service,custom_tailoring,2
I want to get a custom suit made for me ,custom_tailoring,2
do you provide tailoring services,custom_tailoring,2
can you provide some information on tailoring,custom_tailoring,2
can you tailor a suit for me,custom_tailoring,2
can you stich a suit for me ,custom_tailoring,2
tailoring,custom_tailoring,2
tailoring services,custom_tailoring,2
help with tailoring,custom_tailoring,2
prices of tailoring,custom_tailoring,2
cost of tailoring services,custom_tailoring,2
neeed to get a jeans tailored,custom_tailoring,2
tailor and stich,custom_tailoring,2
stiching and tailoring,custom_tailoring,2
need some information regaring a tailor made shirt,custom_tailoring,2
tailor made clothing,custom_tailoring,2
do you provide tailor made clothes,custom_tailoring,2
can I customize my clothing ,custom_tailoring,2
do you provide tailoring  and what would be the cost of service,custom_tailoring,2
need help with some bespoke tailoring,custom_tailoring,2
tailor,custom_tailoring,2
tailoring,custom_tailoring,2
can I talk to a tailor,custom_tailoring,2
I need some tailor made clothing,custom_tailoring,2
can you guide me with tailoring,custom_tailoring,2
tailormade,custom_tailoring,2
custommade,custom_tailoring,2
custom made,custom_tailoring,2
want to get a shirt tailored for my dad,custom_tailoring,2
want a tailor made suit for my mom,custom_tailoring,2
tailor,custom_tailoring,2
tailor made clothing,custom_tailoring,2
tailoring,custom_tailoring,2
stitch,custom_tailoring,2
stitch service,custom_tailoring,2
stitching,custom_tailoring,2
tailored,custom_tailoring,2
tailored clothing,custom_tailoring,2
clothing with tailor made,custom_tailoring,2
tailor shirt,custom_tailoring,2
tailor pant ,custom_tailoring,2
tailored top,custom_tailoring,2
tailormade jeans for my son,custom_tailoring,2
can you guide me with tailoring,custom_tailoring,2
tailormade,custom_tailoring,2
custommade,custom_tailoring,2
custom made,custom_tailoring,2
want to get a shirt tailored for my dad,custom_tailoring,2
want a tailor made suit for my mom,custom_tailoring,2
tailor,custom_tailoring,2
tailor made clothing,custom_tailoring,2
tailoring,custom_tailoring,2
stitch,custom_tailoring,2
stitch service,custom_tailoring,2
stitching,custom_tailoring,2
tailored,custom_tailoring,2
tailored clothing,custom_tailoring,2
clothing with tailor made,custom_tailoring,2
tailor shirt,custom_tailoring,2
tailor pant ,custom_tailoring,2
tailored top,custom_tailoring,2
tailormade jeans for my son,custom_tailoring,2
can you guide me with tailoring,custom_tailoring,2
tailormade,custom_tailoring,2
custommade,custom_tailoring,2
custom made,custom_tailoring,2
want to get a shirt tailored for my dad,custom_tailoring,2
want a tailor made suit for my mom,custom_tailoring,2
tailor,custom_tailoring,2
tailor made clothing,custom_tailoring,2
tailoring,custom_tailoring,2
stitch,custom_tailoring,2
stitch service,custom_tailoring,2
stitching,custom_tailoring,2
tailored,custom_tailoring,2
tailored clothing,custom_tailoring,2
clothing with tailor made,custom_tailoring,2
tailor shirt,custom_tailoring,2
tailor pant ,custom_tailoring,2
tailored top,custom_tailoring,2
tailormade jeans for my son,custom_tailoring,2
